@relation education


@attribute degree {PHD,Bachelors,Masters}
@attribute school {Duke,Stanford,USC,Berkeley,CarnegieMellon,NorthCarolina,Texas,Michigan,MSU,MIT,CalTech}
@attribute specialization {Fusion,ComputerSystems,RF,Magnetics,TernaryFission,Electrical,Civil,ThermonuclearFusion,Circuits,Analog,Buildings,Fission,Infrastructure,Nuclear,Transportation,ArtificialIntelligence,Energy,ComputerArchitecture,AstrophysicalFusion,MilitaryApplications,Digital}
@attribute goal {true,false}


@data
Bachelors,NorthCarolina,Electrical,false
Masters,NorthCarolina,Circuits,false
Bachelors,Duke,Civil,false
Masters,MIT,Infrastructure,false
Bachelors,MIT,Electrical,false
Masters,MIT,Circuits,false
PHD,MSU,Digital,false
Bachelors,NorthCarolina,Electrical,false
Masters,Stanford,ComputerSystems,false
Bachelors,MSU,Electrical,false
Masters,CalTech,ComputerSystems,false
Bachelors,CalTech,Nuclear,false
Masters,MIT,Fission,false
Bachelors,CarnegieMellon,Civil,false
Bachelors,Berkeley,Civil,false
Bachelors,Texas,Electrical,false
Masters,NorthCarolina,ComputerSystems,false
Bachelors,Berkeley,Civil,false
Masters,Berkeley,Infrastructure,false
PHD,Duke,Transportation,false
Bachelors,CalTech,Electrical,false
Masters,NorthCarolina,Circuits,false
Bachelors,CalTech,Nuclear,false
Masters,CalTech,Fusion,false
Bachelors,NorthCarolina,Civil,false
Masters,USC,Infrastructure,false
Bachelors,CarnegieMellon,Civil,false
Masters,Michigan,Infrastructure,false
Bachelors,Texas,Electrical,false
Masters,MIT,Circuits,false
Bachelors,NorthCarolina,Electrical,false
Masters,Michigan,Circuits,false
Bachelors,Duke,Civil,false
Bachelors,MIT,Nuclear,false
Masters,CalTech,Fission,false
Bachelors,Duke,Civil,false
Bachelors,Michigan,Electrical,false
Bachelors,USC,Civil,false
Masters,MIT,Infrastructure,false
Bachelors,Texas,Electrical,false
Masters,NorthCarolina,ComputerSystems,false
Bachelors,Duke,Civil,false
Bachelors,Michigan,Civil,false
Masters,CarnegieMellon,Infrastructure,false
PHD,USC,Buildings,false
Bachelors,CarnegieMellon,Civil,false
Masters,MSU,Infrastructure,false
